filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	N84_nwt	phlpp1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B04	210125	1	NI930	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1	9.0802179	.5444736	.26955227	.3062664	1.7926568	1	20	20	308257	5708	5079	7207	2208	54	2.025e+09	1	3142155	113036	138	191	167	113	28	707734	2080	3732.6274	3311.5128	7763865	32.44037	-1.20e+07	81	3760.532	889052.1	1222174	51_PHLPP1	1	2	1	9.35	2	1	4	-.6856121	-.3232857	-.3607185	.5988157	-.6856121	-1.216274	.4108815	.2315322	.3230377	-.1340876	0	-.6539285	.4864239	-.8902469	-1.080319	-1.20899	-.6433454	.4752407	.4219289	.2186495	.3697907	.1208042	.0241045	-.1695239	-.0241045	-.2683089	.4484255	-.8347719	.0723697	.1208042
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B05	210125	1	NI936	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	0	0	1		.8847696	.84036885	.340296	3.7411968	1	26	26	298843	8301	6824	8164	2393	36	2.220e+09	1	3670509	117508	139	238	169	91	12	784926	752	3364.3005	3213.1472	2529954	-225.4817	-1.58e+07	0	4095.831	995596.6	1387875	51_PHLPP1	1	2	1	9.8	2	1	4	.7309843	.4763812	.777914	1.65172	.1595451	2.434185	-.1642108	1.472651	2.053749	.1340876	1.833915		.9153651	-1.678071	-2.053749	-2.053749	-.8180418	-.9420758	.3186394	1.898029	1.898029	.3186394	.5299395	.2186495	.4752407	-.2186495	.5578848	.0723697	.1208042	-1.061503
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_D01	210125	1	NI914	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	11.540163	.340296	.26955227	.2041776	.8573576	1	4	4	163141	3979	4767	6864	2500	41	1.106e+09	1	2131522	78755	91	241	162	108	157	483168	11432	5376.2618	5079.5115	6.15e+07	-308.3135	1.55e+07	83	3690.027	821147.8	1129626	51_PHLPP1	1	2	1	7.833333	2	1	4	-.9863861	-1.176396	-.777914	-1.422333	-.7309843	-.3833065	.2197229	-.851726	-.3054808	-.9944579	0	.0329879	-.8656782	1.361571	1.20899	1.451407	.9674216	-.5024022	-.9051525	-1.362383	.0241045	-.7683021	-.1695239	.3697907	-.7683021	-.9051525	-1.150349	.1695239	-.1208042	-.2186495
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_F05	210125	1	NI940	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	10.256714	.4764144	.17441618	.2382072	1.6367736	1	30	30	212970	5604	4287	12464	4721	38	2.615e+09	2	1284911	61304	85	240	91	81	88	448622	6335	3958.2976	3645.6744	2.51e+07	-116.9499	369982.9	37	3888.139	871586.3	1192625	51_PHLPP1	1	2	1	10.06667	2	1	4	-.17745	-.6416095	-.5570917	.8266231	.9304992	-.5073057	-.7091025	0	.2018935	-.7279133	-.7949086	-.2499428	-1.361571	.4864239	.2018935	.2018935	.236128	-.7363159	-.3697907	.1208042	-.5299395	.5862727	2.341027	2.341027	-1.496147	-1.496147	-1.663793	.1208042	-2.341027	-1.663793
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_H02	210125	1	NI923	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	6.6202724	.4423848	.28540829	.3062664	.7014744	1	13	13	242883	5168	4360	7755	2564	47	1.810e+09	1	3483008	128404	118	273	178	94	25	416592	2272	3455.9331	3431.4301	7851880	-378.8481	-1.37e+07		3651.834	820190.8	1058462	51_PHLPP1	1	2	1	8.583333	2	1	4	-1.045537	-1.250087	-1.250087	-1.65172	-.9304992	-1.008045	2.019086	-.267957	-.4864239	-.1340876	.1509692	-1.561435	-1.678071	-1.110772	-.9153651	-1.14229	-.6850168	-.1208042	-.2683089	-.3186394	-.3697907	-.0241045	.3697907	.5299395	.2683089	.2186495	-.1695239	.9051525	.5299395	-.9420758
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_B06	210125	1	NI944	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	1	1	3	6.8341807						34	34	75065	5774	6287	4630	1511	13	3.737e+08	2	406241	33069	68	112	93	65	80	404524	5535	3730.484	3245.3422	2.06e+07	104.5664	1872592	11	3716.561	826396.5	1109259	51_PHLPP1	1	2	1	10.43333	2	1	4	-.8773774	-1.045537	-.9304992	-1.527002	-.8266231	1.008045	-.8837863					-1.458376	-2.053749	.3054808	.0334279	0	.3054808	-2.341027	-2.341027	.3186394	1.496147	-2.341027	-1.150349	-.9051525	-2.341027	-2.341027	-2.341027	-2.341027	-1.898029	-2.341027
InsH2Bfabp_CD15_09dpf_VAST02_plate01_PHLPP1_210125_F06	210125	1	NI947	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	9	.0814841	0	1	18.706092	.85074	.74523275	.510444	2.6500144	1	37	37															202	916560	15880	4387.5943	3958.8391	6.97e+07	-39.14683	4.03e+07	7	4205.93	1475279	1469103	51_PHLPP1	1	2	1	10.66667	2	1	4	1.176396	2.455101	1.331275	.8773774	2.455101	-1.623523	-1.637868	1.250087	.9674216	1.451407	1.554774	1.684395	1.554774	1.678071	1.678071	1.554774	1.678071													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_A05	210126	2	NI979	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	0	0	1	18.03587	.0680592	.14270414	.4083552	.389708	1	20	69	342666	6465	5587	4743	1395	53	1.527e+09	1	4786519	135577	163	211	177	136	102	754974	8538	4355.9322	3845.8592	3.72e+07	55.99887	9519740	0				51_PHLPP1	1	3	2	5.308333	3	1	4								-1.809183	-1.080319	.6027625	-1.281552	1.561435	.6433454	.7498695	.7279133	.7721932	.6850168	.3697907	.7050659	1.150349	1.061503	-.4219289	-.9803303	-1.061503	1.150349	.4219289	1.898029	-.4219289	.4484255	1.362383
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_G04	210126	2	NI977	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	13.19134		.14270414	.4423848	2.8838392	1	18	67															39	664700	3632	4007.5107	3544.3612	1.46e+07	45.97644	-8649782	63	4351.151	1113730	1526256	51_PHLPP1	1	3	2	5.116667	3	1	4	1.809183	1.250087	1.809183	1.176396	1.65172	-.1124738	1.159195		1.405072	.9410746	-1.281552	.6136091	.1004337	-.5244005	-.3406948	-.3763366	-.4491363													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C03	210126	2	NI970	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.9250079	1	3	15.32293	.0340296	.17441618	.4083552	.3117664	1	11	60															81	767954	6883	4996.7937	4369.0581	3.44e+07	109.6258	-1028521	13	4281.259	1140826	1514233	51_PHLPP1	1	3	2	4.05	3	1	4	1.422333	1.422333	1.527002	.7309843	.4566991	.0374211	.0727199	-2.194925	-1.405072	.6027625	-.7949086	.8749908	.7721932	.3406948	.3763366	.6027625	.0334279													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_E02	210126	2	NI965	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0654158	0	1	10.18773	.4423848	.28540829	.2722368	.4676496	1	6	55	271946	5550	5153	7694	2239	49	2.163e+09	1	2848667	123299	128	175	166	125	43	610832	3030	4038.6832	4203.4269	1.22e+07	-662.5815	-2.07e+07	0	3824.285	891190.5	1222787	51_PHLPP1	1	3	2	3.616667	3	1	4	-.3232857	-.2863006	-.3232857	-.4371924	.2863006	0	.7091025	-.267957	-.9410746	-.4307273	.1509692	-.3013365	-.167894	-.3584588	-.5244005	-.4864239	-1.080319	.1208042	-.1208042	.0723697	.4219289	.2186495	.2683089	-.0723697	-.2186495	-.0241045	.0482231	-1.061503	.0241045	.9420758
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C02	210126	2	NI963	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	13.09445	.4083552	.38054438	.0680592	.4676496	1	4	53															230	795024	18574	5812.8523	5075.5817	1.08e+08	132.6878	6.21e+07	80	3929.32	1107091	1369781	51_PHLPP1	1	3	2	3.466667	3	1	4	.1061127	1.108593	.5163159	.9304992	1.527002	-.4238958	-.7566237	-.5570917	-.9410746	-1.678071	.6027625	.5742636	1.022241	2.053749	2.053749	2.053749	1.833915													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_F07	210126	2	NI997	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	23.65553	.4764144	.3012643	.4423848	1.4808904	1	38	87	288093	5436	4128	9564	3498	53	2.913e+09	1	3294473	136188	132	227	177	104	38	596004	3005	3395.8998	3324.7331	1.02e+07	-319.1256	-9746990	8	4094.522	961651.9	1281824	51_PHLPP1	1	3	2	7.116667	3	1	4	.6856121	.070668	.035312	-.17745	-.4371924	.8906177	-.8059185	0	.0836517	.9410746	.3054808	2.059215	-.3054808	-.5631492	-.5631492	-.7279133	-.5631492	.3697907	.1208042	-.1695239	-.7683021	1.249346	1.104836	1.150349	.0723697	.5299395	.2683089	-.2683089	.4484255	-.5299395
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C05	210126	2	NI981	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	8.734366	.3743256	.23784024	.2722368	.4676496	1	22	71															47	478884	3962	3831.7413	3306.3195	1.52e+07	137.3832	-4497546	32	3641.302	859234.6	1118785	51_PHLPP1	1	3	2	5.483333	3	1	4	-1.108593	-.8266231	-.8266231	-.9863861	-1.250087	1.216274	1.233495	-.708116	-.9410746	-.4307273	-.1340876	-.7379805	-1.022241	-.2880175	-.2706416	-.3054808	-.2018935													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C01	210126	2	NI957	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	8.346803	.2041776	.20612821	.2382072	.779416	1	47	47															43	434078	2811	4057.0267	4198.1032	1.14e+07	-638.2626	-2.15e+07	0	3721.344	834217.3	1092646	51_PHLPP1	1	3	1	2.883333	3	1	4	-.777914	-.9863861	-1.045537	.4763812	.035312	.3433392	-.5751093	-1.375379	-.4124631	-.7279133	-.3943355	-.8749908	-1.451407	-.3584588	-.7279133	-.6433454	-1.20899													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C06	210126	2	NI987	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	10.86596	.4083552	.36468837	.2041776	2.4941312	1	28	77															102	606126	8752	5591.8048	4694.5232	4.89e+07	339.3374	8696847	1				51_PHLPP1	1	3	2	6.016666	3	1	4								-.5570917	.8180418	-.9944579	.5244005	-.1824072	-.2706416	.7498695	.8180418	1.080319	.5631492													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C04	210126	2	NI975	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	11.5442		.23784024	.3743256	1.7147152	1	16	65															152	568500	10609	3175.2537	2940.5619	3.37e+07	-108.5808	1.94e+07	16	4040.64	935139.2	1263760	51_PHLPP1	1	3	2	4.85	3	1	4	.5163159	-.1061127	-.1061127	-.7309843	-.3047411		.1092005		.2706416	.3763366	-.1340876	.0825485	-.4491363	1.20899	1.14229	.5244005	1.20899													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_A07	210126	2	NI993	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0738802	0	1	12.90067	.4423848	.20612821	.340296	2.5720728	1	34	83															24	766305	1792	4426.7344	4022.75	7932708	-71.73991	-2.24e+07	0	4141.573	1038020	1414732	51_PHLPP1	1	3	2	6.633333	3	1	4	.8773774	.777914	.9304992	-.4763812	.777914	-.5503351	.8059185	-.267957	.8656782	.1340876	-.3943355	.5357877	.7279133	-1.20899	-1.281552	-1.080319	-1.361571													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_D07	210126	2	NI995	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0690588	0	1	9.897054	.340296	.3012643	.2722368	1.4808904	1	36	85	394973	5984	5040	7190	2323	66	2.838e+09	1	4557032	177256	143	297	183	114	54	452666	3936	4393.6405	3811.6262	1.73e+07	132.13	-9870741	17	3799.285	870988.2	1157470	51_PHLPP1	1	3	2	6.866667	3	1	4	-.4763812	-.6856121	-.6416095	0	.3419422	-.7344303	-.5327554	-.851726	.0836517	-.4307273	.3054808	-.4247038	-1.281552	-.2018935	-.3054808	-.167894	-.6027625	1.362383	1.150349	.5299395	.2683089	1.061503	-.0241045	.0241045	.9803303	1.496147	.7683021	1.249346	.8694237	.2683089
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_G02	210126	2	NI967	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	8.443694	.2382072	.26955227	.3062664	.3117664	1	8	57	130516	4834	3848	12024	3644	27	1.565e+09	1	1438181	66044	112	173	108	95	65	486094	6272	4116.9785	3625.4235	2.58e+07	64.46046	1415835		3532.885	754918.2	1041385	51_PHLPP1	1	3	2	3.783333	3	1	4	-1.65172	-1.809183	-1.422333	-2.455101	-2.031014	-1.497249	.1826502	-1.212419	-1.405072	-.1340876	0	-.7820069	-.8180418	.0167116	.167894	.236128	.2706416	-1.898029	-1.249346	-.4752407	-.9803303	-.2683089	1.663793	1.362383	-1.249346	-1.249346	-.3697907	-1.150349	-1.426077	-.8347719
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_G01	210126	2	NI961	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	10.09084	.4083552	.22198422	.0680592	.3117664	1	2	51	275208	4587	4458	3413	869	60	9.142e+08	1	4956572	148296	150	228	185	121	47	680540	3278	5206.719	4453.5271	1.71e+07	224.7439	-1.96e+07	46	4073.865	1039037	1369452	51_PHLPP1	1	3	2	3.266667	3	1	4	.5570917	.8266231	.4763812	1.809183	.6856121	-.3433392	1.796193	-.5570917	-1.405072	-1.678071	-.2533471	-.3535393	.236128	-.2880175	-.4124631	-.236128	-.9674216	.8010945	-.0241045	-.6445316	-.3186394	-.9803303	-1.496147	-1.663793	1.249346	.7050659	1.150349	-.2186495	1.020076	.6151411
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_E05	210126	2	NI982	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	10.18773	.4083552	.14270414	.340296	.6235328	1	23	72	171246	5905	5053	5967	2172	29	1.027e+09	2	1891376	85555	105	164	163	90	18	611028	1568	4500.1218	3934.2396	7056191	100.991	-2.19e+07	79	3919.524	942705.7	1324322	51_PHLPP1	1	3	2	5.6	3	1	4	.035312	-.070668	.1061127	.2863006	-.3607185	-.8363019	.3716615	-.5570917	-.5828415	.1340876	-1.281552	-.3013365	-.1340876	-1.361571	-1.451407	-1.281552	-1.281552	-1.426077	-.8347719	.4752407	.3186394	-.8347719	-.4752407	-.2683089	-.9051525	-.7050659	-.4752407	-1.362383	-.0723697	-1.19838
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_E01	210126	2	NI959	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	0	0	1	11.05974	.3062664	.19027219	.2722368	2.1044232	1	49	49	294790	6141	5434	8572	3181	48	2.444e+09	1	2660748	118756	102	255	150	129	26	577204	2208	5282.3433	4770.8761	1.17e+07	-55.82196	-2.97e+07	10	3945.974	960440.7	1306467	51_PHLPP1	1	3	1	3.033333	3	1	4	.17745	.035312	.070668	-.9304992	.5570917		.6631314	-1.015518	.5631492	-.4307273	-.5631492	-.1489679	-.4124631	-1.022241	-.9674216	-.5631492	-1.678071	-.0241045	.2683089	.7683021	.6445316	.4219289	.6445316	1.061503	-.3186394	-.1208042	-.5578848	.7050659	-.3441025	1.061503
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_G06	210126	2	NI991	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	10.28462	.6125328	.47568048	.3743256	1.7926568	1	32	81	363346	5505	5235	8644	2951	66	3.109e+09	1	5282043	183090	154	346	181	90	56	660164	4337	4453.407	3854.4471	1.93e+07	143.8346	-8483996	2	4089.472	962100.5	1342371	51_PHLPP1	1	3	2	6.383333	3	1	4	.6416095	.1061127	.2497032	.4371924	.070668	-.0748947	.2571002	.5163159	.3230377	.3763366	.9153651	-.2160518	.0668933	-.1340876	-.167894	-.0334279	-.4124631	1.362383	.9051525	-.0723697	.5299395	1.362383	.7050659	.7683021	2.341027	1.898029	1.496147	1.898029	.7363159	-1.19838
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_B06	210126	2	NI986	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0840032	0	1	11.64109	.510444	.3012643	.340296	1.4808904	1	27	76															117	780688	8622	4620.0534	3951.1954	3.98e+07	201.8914	1.06e+07	80	3817.911	930069.9	1207205	51_PHLPP1	1	4	2	5.916667	4	1	4	-.3986639	-.17745	-.3986639	-2.031014	-.2134373	-.8906177	.9109555	.1416912	.0836517	.1340876	.3054808	.1156944	.8180418	.8656782	.7721932	.8656782	.7279133													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_F04	210126	2	NI976	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	11.44731		.25369626	.1020888	1.6367736	1	17	66	339765	6067	5528	8428	2350	56	2.636e+09	1	3491527	151937	128	232	200	117	25	527350	2960	4301.3426	3785.3914	1.27e+07	69.27785	-1.40e+07	158	3797.61	869926.4	1233374	51_PHLPP1	1	4	2	5.033333	4	1	4	-.5163159	-.777914	-.2134373	-1.250087	-.5163159	-1.141333	-1.233495		.2018935	-1.281552	-.0668933	-.0164917	-.5631492	-1.110772	-.6027625	-.4124631	-.7279133	.5578848	.6445316	.7050659	.9051525	.7050659	.5862727	.0723697	.3186394	.8347719	.0482231	-.0482231	1.663793	.5299395
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_F01	210126	2	NI960	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0604551	0	1	9.218819	.510444	.20612821	.340296	1.94854	1	1	50	291191	6933	5816	7129	2516	42	2.186e+09	1	3469646	125097	149	287	150	94	8	624184	896	4677.558	4318.895	4191092	-153.3071	-3.05e+07	16	3824.096	888917.6	1265659	51_PHLPP1	1	4	2	3.166667	4	1	4	-.3607185	-.3607185	-.035312	-.5988157	-.4763812	.7344303	1.027154	.1416912	.4307273	.1340876	-.3943355	-.6136091	-.0334279	-1.833915	-1.678071	-1.678071	-1.833915	-.4219289	.2186495	1.249346	1.249346	.2683089	-.0723697	.4219289	.2186495	.1208042	1.061503	1.061503	-.3441025	-.9420758
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_B01	210126	2	NI956	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	4.955629	.4423848	.22198422	.0340296	1.0911824	1	46	46	430010	9556	6794	7637	2148	45	3.386e+09	1	3542966	151372	131	259	173	113	4	808762	112	3987.2679	4370.3196	446574	-901.3158	-3.50e+07		3607.419	969487.6	1265614	51_PHLPP1	1	4	1	2.416667	4	1	4	-1.331275	.17745	-.070668	-.6416095	-.777914	-2.006752	1.407024	-.267957	-.1004337	-2.47474	-.2533471	-2.479467	1.080319	-2.47474	-2.47474	-2.47474	-2.053749	-.1940281	1.898029	2.341027	1.663793	1.663793	.1695239	-.3697907	.3697907	.7683021	.1695239	.8347719	.3186394	.1208042
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_B03	210126	2	NI969	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	14.25714	.4423848	.12684813	.340296	2.8058976	1	10	59	395572	6940	5510	6497	2429	57	2.755e+09	1	4642245	153351	138	249	148	143	7	711798	768	3966.3464	3519.5572	3046154	32.65187	-1.98e+07	56	4203.951	1067434	1460071	51_PHLPP1	1	4	2	3.966667	4	1	4	1.108593	.9863861	1.250087	1.045537	-.1061127	1.141333	.6185211	-.267957	1.20899	.1340876	-1.678071	.7820069	.5244005	-2.053749	-1.833915	-1.833915	-1.022241	.6445316	1.249346	1.362383	.7683021	.8347719	-.3186394	.3186394	1.061503	.9051525	.4484255	.5024022	-.4484255	2.069902
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_D01	210126	2	NI958	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	11.93176	.3743256	.19027219	.2722368	1.0132408	1	48	48															27	593010	1840	4615.8609	4264.4797	8493184	-153.929	-2.54e+07	45				51_PHLPP1	1	4	1	2.958333	4	1	4								-.708116	-.1509692	-.4307273	-.5631492	.1489679	-.3406948	-.9674216	-1.20899	-1.022241	-1.451407													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_B05	210126	2	NI980	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	12.70688	.5444736	.31712032	.340296	2.6500144	1	21	70																							55	4038.574	1026610	1417393	51_PHLPP1	1	4	2	5.433333	4	1	4	.4763812	.6416095	.9863861	-.070668	-.3986639	.3039132	-.1092005	.2315322	.9674216	.1340876	.4124631	.4610861																		
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_C07	210126	2	NI994	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	16.58251	.340296	.15856016	.3062664	1.4029488	1	35	84															83	557898	5839	4237.9794	3894.1815	2.47e+07	-116.1904	-3641453	11	3898.528	885029.6	1193014	51_PHLPP1	1	4	2	6.8	4	1	4	-.1061127	-.4371924	-.5163159	-.777914	-.3047411	-.3039132	-.4507442	-.851726	0	-.1340876	-1.022241	1.21679	-.4864239	.3943355	.0668933	.167894	-.0668933													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_D02	210126	2	NI964	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	13.67579	.0340296	.15856016	.4423848	.3117664	1	5	54	178137	3361	4744	4825	1359	53	8.207e+08	1	4306500	126909	144	216	174	139	48	703500	4143	4337.167	3781.8252	1.80e+07	109.105	-8753776	14	4215.977	1026745	1418634	51_PHLPP1	1	4	2	3.566667	4	1	4	1.250087	.6856121	1.045537	.5163159	.7309843	.4651961	1.637868	-2.194925	-1.405072	.9410746	-1.022241	.6953402	.4491363	-.236128	-.236128	-.0668933	-.5244005	.3697907	-.7050659	-1.898029	-.0723697	-1.061503	-.9051525	-1.150349	.7683021	.1695239	.8694237	-.3697907	.3697907	1.496147
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_H04	210126	2	NI978	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.066973	0	1	12.60999	.680592	.17441618	.5444736	2.8838392	1	19	68	312134	5290	4961	7093	2413	59	2.129e+09	1	4084798	143317	140	237	191	113	20	629764	2176	4566.0524	4080.3648	9935730	2.911684	-2.12e+07	21	4135.605	1004644	1373893	51_PHLPP1	1	4	2	5.183333	4	1	4	.777914	.5570917	.5988157	.2134373	.1061127	-.6396686		.708116	1.405072	1.750686	-.7949086	.4247038	0	-1.281552	-1.022241	-.7721932	-1.14229	.7050659	.4752407	-.2683089	.1695239	.1695239	-.1208042	.2683089	.6445316	.5862727	.6445316	.0241045	1.362383	.1208042
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_F02	210126	2	NI966	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	11.25352		.19027219	.0680592	.2338248	1	7	56															29	514866	2688	4637.763	3867.1828	1.25e+07	313.8962	-1.55e+07	35	3796.455	899415	1244903	51_PHLPP1	1	4	2	3.683333	4	1	4	-.5570917	-.2497032	-.17745	-.8266231	-1.176396	1.391153	-.6185211		-2.216363	-1.678071	-.5631492	-.0494931	-.6850168	-.7721932	-.7721932	-.4491363	-.7721932													
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_H02	210126	2	NI968	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0582886	0	1	8.249912	.6125328	.20612821	.4423848	.3117664	1	9	58	363748	5511	4745	4636	1546	66	1.639e+09	2	5070967	175960	163	322	181	114	36	962558	3088	5028.726	4237.2895	1.55e+07	289.4543	-1.79e+07		3831.473	1001937	1276366	51_PHLPP1	1	4	2	3.85	4	1	4	-.2863006	.5163159	0	-1.331275	0	-1.782751	2.444812	.5163159	-1.405072	.9410746	-.3943355	-.9244287	2.053749	-.6027625	-.4491363	-.2706416	-.9153651	1.362383	.9803303	-.0241045	-.0241045	-.1695239	-1.061503	-.7050659	1.496147	1.362383	1.898029	1.426077	.7363159	.2683089
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_E07	210126	2	NI996	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	.0711427	0	1	9.800163	.4764144	.17441618	.3743256	.5455912	1	37	86	206671	4218	3349	4578	1752	49	9.790e+08	1	3303972	124205	106	258	223	109	34	586434	2849	4137.7234	3916.1549	1.18e+07	-241.1093	-1.69e+07	0	3768.552	1120295	1157320	51_PHLPP1	1	4	2	7	4	1	4	-.6416095	1.331275	-.6856121	-.6856121	.9863861	-.7843482	-2.444812	0	-.7498695	.3763366	-.7949086	-.4980894	-.3763366	-.6433454	-.6433454	-.5244005	-.8656782	.1208042	-.4752407	-1.061503	-1.663793	-.9051525	-1.249346	-.6445316	.1208042	.0723697	-.4219289	.7683021	2.341027	-.1451209
InsH2Bfabp_CD15_10dpf_VAST02_plate02_PHLPP1_210126_D03	210126	2	NI971	insH2Bfabp	CD15	PHLPP1	1	0	0	2	1	10	1	1	3	13.5789	.6125328	0	.3743256	.6235328	1	12	61	466864	5764	5277	7599	2226	81	3.469e+09	1	5089478	194697	146	274	183	131	42	866781	4624	5112.2381	4124.6141	2.36e+07	499.4323	-8161470	0	4140.255	1056652	1405356	51_PHLPP1	1	4	2	4.2	4	1	4	.8266231	.9304992	.8773774	-.1416912	1.176396		.7566237	.5163159	-.5828415	.3763366	-2.47474	.6539285	1.281552	-.4124631	-.0668933	.1004337	-.3763366	2.341027	2.341027	.2683089	.5862727	1.898029	.0723697	-.1208042	1.663793	2.341027	.9803303	.9803303	.8694237	1.150349
