filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	hmox1_nwt	hmox1_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_B02	200910	1	NC841	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	15.079692	.2722368	.53910454	.170148	.7014744	1	10	10															95	709788	8336	3964.8161	3567.6147	3.31e+07	-118.582	-1.62e+07	0	4357.316	1192581	1594773	8_HMOX1	1	2	1	4.233333	2	1	5	1.616981	1.104836	2.519125	.4253408	.2079166	-.1272606	-.0929718	-1.238894	-.7990828	-.5595922	-.2104284	.4755309	.0563585	.1128968	.2562565	.4032736	-.8899477													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_D01	200910	1	NC835	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	12.098796	.4083552	.58667259	.2722368	2.5720728	1	4	4	320587	5343	4071	16292	5118	60	5.222e+09	1	4075480	150372	137	291	154	122	198	639546	15666	4031.7235	3684.6034	6.32e+07	-191.0179	1.12e+07	5	3832.456	927258.6	1251303	8_HMOX1	1	2	1	3.783333	2	1	5	-.8207921	-1.104836	-.7407855	-1.049131	-.2079166	.8552639	-.7039218	1.608653	1.13214	.9674216	.0189907	-.4455616	-.4987188	.9825221	.9825221	1.26794	.6463197	-.1423641	-.6597193	-.7824294	-1.161883	-.0947312	.4921101	.3373553	-.5462332	-.7197189	-.0710019	.7050659	-1.260339	-.2631268
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_A06	200910	1	XX004	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	7.4832154						10	108	293040	6660	5752	17694	7572	44	4.496e+09	1	3866521	131610	144	223	164	131	20	639292	1423	2956.5313	2527.8575	4207144	111.5711	-2.07e+07	0	4022.184	993353.6	1275169	8_HMOX1	1	2	3	6.916667	2	1	5	-.1479871	-.3784071	-.5244005	-.2686029	.3302958	.1593188						-1.562036	-.5308747	-.9162218	-.9825221	-.9357584	-1.26794	-1.260339	-.9182451	.0473125	.1903223	-.3878687	.7824294	1.161883	-.6597193	-1.161883	.2631268	-1.104836	-.9929082	.2876889
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_C06	200910	1	XX006	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	0	0	1	16.233588						12	110	460404	6577	5352	13953	4607	70	6.887e+09	1	5884676	180295	176	306	174	128	218	737454	16720	3678.4898	3079.0082	6.15e+07	177.0629	2.37e+07	0	4128.83		1459114	8_HMOX1	1	2	3	7.05	2	1	5	.2686029		.5933586	1.516426	.8628221		-.3803256					.7000902	.1697986	1.275175	1.185158	1.203157	1.203157	.7824294	.2876889	-.0473125	-.0947312	.1423641	.1423641	.0473125	.6020065	.3373553	1.37281	1.061503	-.6020065	.1423641
InsH2Bfabp_CD15_09dpf_VAST02_plate01_HMOX1_200910_G05	200910	1	XX002	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	9	1	1	2	8.8294265						8	106															21	258216	1504	2719.1336	2528.4647	4089577	-126.5498	-2.08e+07	10	3860.243	912753.6	1132587	8_HMOX1	1	2	3	6.783333	2	1	5	-.7025232	-1.166061	-1.217197	.3616052	.4253408	-.7251591	-.8284646					-1.365669	-2.123549	-.8537231	-.8336214	-.9836224	-1.338533													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A04	200911	1	NC890	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	11.855807	.3062664	.41225642	.2041776	2.2603064	1	10	59															36	700140	2962	2314.7606	2361.1424	6856321	-331.628	-1.41e+07	0	4328.02	1159204	1509717	8_HMOX1	1	3	2	4.633333	3	1	5	1.281552	.8010945	1.101709	.7801644	.088585	.6063177	.0929718	-.4377901	.6744897	.1141853	-2.166107	-.5524426	-.0563585	-.5801733	-.4987188	-.6463197	-.8034983													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_D08	200911	1	NC923	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.9921758	1	2	13.941544		.45982446	.2041776	1.4029488	1	43	92															32	742830	2240	1935.5308	1791.035	4335589	-31.8121	-3276026	0				8_HMOX1	1	3	2	7.483334	3	1	5									-.1141853	.1141853	-1.290233	0	.3149377	-.6656764	-.5969185	-.8459325	-.1822052													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_E09	200911	1	NC932	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	18.907585	.3743256	1.2684813	.340296	2.4161896	1	3	101	311842	4950	4195	11583	4210	63	3.547e+09	1	4727459	166910	142	255	189	113	59	617396	3760	1562.1785	1584.066	5873791	-158.6471	3108791	0	4091.368	1153836	1368211	8_HMOX1	1	3	3	8.1	3	1	5	.088585	.6744897	.088585	2.104968	1.616981		.2183448	.9271548	.7990828	2.000424	1.382994	1.660698	-.7012515	-.1270809	-.3149377	-.7226751	.2130021	.118514	-.8483799	-.9929082	-.9182451	-.7197189	-.4393922	-.0947312	0	-.0947312	.1423641	-.1208042	-.0236496	-.7507051
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A06	200911	1	NC906	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	17.815056	.2382072	.53910454	.1361184	3.1956056	1	26	75	518010	8094	5907	13335	4613	64	6.900e+09	2	6569493	191374	148	271	208	163	23	808092	1728	2218.7066	2283.1749	3833925	-334.8162	-1.53e+07	0	4347.629	1204469	1544110	8_HMOX1	1	3	2	5.783333	3	1	5	1.429219	1.303783	1.516426	.3932733	1.129176	2.075128	.5894558	-1.993984	1.77585	-1.4342	-.2104284	1.211232	1.078302	-.7943937	-.7377372	-1.033853	-.8459325	.1903223	.7197189	.8483799	.2876889	.1903223	-.0473125	.0947312	.9929082	.5462332	.4134932	.0723697	.4921101	2.077713
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A02	200911	1	NC876	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.9575464	1	2	13.742903	.4083552	.44396845	.1361184	.1558832	1	45	45															113	679814	10080	3177.602	2613.2559	3.20e+07	230.9251	5164578	0	4001.69	1069423	1314453	8_HMOX1	1	3	1	2.966667	3	1	5	-.177872	-.0160688	-.2079166	.3302958	-.1479871	-.1593188	.6648088	1.608653	-1.876359	-1.4342	-1.549706	-.0539321	-.1984454	.2854742	.3747248	.338562	.4032736													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_G02	200911	1	NC881	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	14.63679	.3062664	.55496056	.2041776	1.3250072	1	1	50	382034	5877	5062	10066	3644	65	3.723e+09	1	4730431	166424	128	253	203	131	73	792612	6272	1991.0764	1723.2616	1.25e+07	104.4572	6463472	0	4171.633	1090477	1403741	8_HMOX1	1	3	2	3.466667	3	1	5	.4578519	.2104284	.2686029	.177872	-.2381501	-1.001768	1.188674	-.4377901	-.1717471	.1141853	-.0569997	.2868939	.8950011	.0845939	.0845939	-.1822052	.4362566	.2631268	-.1423641	-.3878687	-.1903223	-.6020065	-.9929082	-.6020065	.0473125	-.1903223	-.4393922	-.1695239	.3373553	.2876889
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_G04	200911	1	NC896	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	7.1877293	.3062664	.53910454	.170148	.9352992	1	16	65																							0	3578.185	830583.5	1027807	8_HMOX1	1	3	2	5.033333	3	1	5	-1.88951	-2.069902	-1.88951	-1.616981	-.8207921	-2.493243	-.4477675	-.4377901	-.6275435	-.5595922	-.2104284	-1.778823																		
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_E08	200911	1	NC924	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	15.729319	.2722368	1.0782091	.2722368	1.94854	1	44	93															26	692206	1687	2189.6817	2374.8716	3693993	-473.0595	-1.76e+07	0	4304.801	1143114	1449618	8_HMOX1	1	3	2	7.55	3	1	5	1.101709	.5207167	.5244005	1.049131	.0590137	2.493243	.4138112	-1.238894	.3487557	.9674216	1.062786	.6001788	-.1697986	-.7377372	-.7752326	-1.086838	-1.033853													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A03	200911	1	NC882	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.0227533	0	1	18.212339	.3062664	.4915365	.2722368	1.0132408	1	2	51															42	801561	4800	3020.2337	2407.355	1.45e+07	318.8021	-7546925	0	4423.947	1250855	1570907	8_HMOX1	1	3	2	3.55	3	1	5	2.519125	2.069902	2.104968	.6289042	1.351702	1.702789	.6266873	-.4377901	-.5157048	.9674216	-.9982012	1.365669	1.029232	-.4358834	-.0845939	-.0604375	-.4032736													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_D04	200911	1	NC893	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.9748417	1	2	18.113018	.340296	.76108877	.1361184	1.7147152	1	13	62	422191	7037	5501	26824	7961	60	1.156e+10	1	4455405	164362	128	303	194	105	0	1183493	0		1503.8372				0	4151.02	1105745	1413475	8_HMOX1	1	3	2	4.833333	3	1	5	.4253408	.2766469	.3302958	0	-.029494	-.6449072	-.6266873	.313572	.1717471	-1.4342	.6275435	1.269393	2.123549	-1.828892	-1.828892			-.1423641	.1903223	.1903223	0	1.505968	2.34813	1.505968	-.1423641	-.3373553	-.4393922	.9051525	.1423641	-1.032396
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_G09	200911	1	NC934	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	10.96192	.3062664	.65009666	.2041776	1.6367736	1	5	103	346204	7065	6006	10956	3861	49	3.878e+09	1	4184650	164604	123	232	214	135	14	775020	992	1486.0423	1331.7816	1474154	65.7087	4616926	12	4380.354	1085199	1338932	8_HMOX1	1	3	3	8.25	3	1	5	2.104968	.1776799	-.0590137	-.6289042	.2686029	.5316958	-.2822162	-.4377901	.0379883	.1141853	.2494273	-.7000902	.6656764	-1.157199	-1.185158	-1.726056	.3707237	-.8827738	-.4393922	.2387225	.3878687	-.5462332	-.5462332	-.4393922	-.4921101	-.2876889	-.7824294	-.7050659	.6597193	.4393922
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_G08	200911	1	NC926	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	17.616414	.2382072	1.1733452	.2382072	2.1044232	1	46	95	389562	5814	4198	12738	4175	67	5.037e+09	1	6006403	206099	140	360	217	139									0	4188.619	1069826	1422642	8_HMOX1	1	3	2	7.683333	3	1	5	.5585475	.0160688	.3932733	.4908544	.2993069	.3564294	.9674216	-1.993984	.5375191	.5595922	1.290233	1.10579						.4393922	.0473125	-.4921101	-.8483799	-.1423641	-.1423641	-.1423641	.7197189	.9929082	.0947312	1.663793	.8483799	.6597193
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A07	200911	1	NC912	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.0370862	0	1	14.835432	.340296	.7928008	.2041776	.1558832	1	32	81															29	953459	1504	1838.2294	1967.5057	2764697	-339.3049	-8979352	0				8_HMOX1	1	3	2	6.458333	3	1	5								.313572	-1.876359	.1141853	.7478586	.3722894	1.758563	-.7012515	-.8336214	-1.416509	-.4697212													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_D06	200911	1	NC909	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	18.212339	.3062664	.52324853	.4423848	2.4941312	1	29	78															50	740012	3680	3135.5598	2742.9887	1.15e+07	34.36033	-1.84e+07	2	4298.346		1466381	8_HMOX1	1	3	2	5.983333	3	1	5	.9993048		.7025232	.8207921	1.88951	.1272606	-.2183448	-.4377901	.9674216	2.428737	-.3894143	1.365669	.2562565	-.3149377	-.3747248	-.3067468	-1.143064													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_D03	200911	1	NC885	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	16.424565	.3743256	.52324853	.170148	2.0264816	1	5	54	276263	5213	4657	12149	5094	53	3.253e+09	1	3656443	138547	113	265	166	143	10	656050	928	2721.4116	2282.475	2525470	168.7225	-1.66e+07	0	4041.583	1021436	1383209	8_HMOX1	1	3	2	3.766667	3	1	5	-.1182339	-.0804273	.177872	.1182339	-1.217197	.6844819	1.018076	.9271548	.4307273	-.5595922	-.3894143	.7349572	-.3149377	-1.244045	-1.244045	-1.504199	-.9836224	-.6306003	-1.073562	-.9182451	-.3878687	-.9929082	-.2876889	.2876889	-.7824294	-.8483799	-1.260339	.0241045	-.8827738	.9182451
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_D07	200911	1	NC915	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	14.736111	.340296	1.3001933	.2382072	2.4941312	1	35	84	469273	7821	6123	8390	2346	60	4.104e+09	2	5544348	187402	164	259	206	136	59	621262	4639	2155.6935	1908.0767	1.00e+07	48.94414	-352130.2	0	4142.761	1051104	1371605	8_HMOX1	1	3	2	6.933333	3	1	5	.3616052	-.0482231	.1182339	-.5933586	-.4578519	-.8552639	.7856053	.313572	.9674216	.5595922	1.48947	.3292913	-.6656764	-.1270809	-.1984454	-.4362566	-.0604375	-.1423641	.3373553	.6597193	.5462332	-.4921101	-1.161883	-1.161883	.4921101	.4393922	.9182451	-.0241045	.4393922	.5189816
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A08	200911	1	NC920	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	17.417773	.3062664	.71352072	.2041776	.9352992	1	40	89	662502	9331	7016	10265	3480	71	7.016e+09	2	7938012	232063	187	284	256	129	16	777937	1280	2483.968	2137.9596	3179479	103.4088	-1.26e+07	0				8_HMOX1	1	3	2	7.275	3	1	5								-.4377901	-.6275435	.1141853	.4516583	.9674216	.7012515	-1.078302	-1.029232	-1.203157	-.6839988	.9182451	1.672937	1.906358	.9929082	.2387225	-.8483799	-.7197189	1.906358	1.37281	1.672937	.5862727	1.672937	.1903223
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_D09	200911	1	NC931	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	14.934752	.2722368	1.4746095	.2722368	2.338248	1	2	100	378854	6765	4620	12131	3846	56	4.570e+09	1	4220689	164143	127	273	162	148	97	811994	7127	2257.8458	2096.8039	1.61e+07	-73.6935	1319828	0	4069.164	1121790	1459547	8_HMOX1	1	3	3	8.033334	3	1	5	-.029494	.3784071	.6289042	.9993048	.4578519	-1.055626	.4822482	-1.238894	.7229722	.9674216	2.000424	.4159872	1.185158	.1412905	.1128968	-.0302049	.0302049	-.4393922	-.2387225	.1423641	-.4921101	-.3373553	-.3373553	-.4921101	-.3373553	-.3878687	-.5462332	.1695239	-1.073562	1.073562
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_A09	200911	1	NC928	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.8282966	1	2	10.763278	.3062664	1.0940651	.170148	1.558832	1	48	97															43	647117	2928	2381.8405	2148.183	6974029	-10.89561	-9000960	7	4101.735	964074.4	1275259	8_HMOX1	1	3	2	7.816667	3	1	5	.177872	-.6346741	-.4908544	-.7025232	-1.516426	.5686108	.8729028	-.4377901	-.0569997	-.5595922	1.13214	-.8454682	-.4670705	-.4051146	-.5308747	-.5735608	-.5037205													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_E04	200911	1	NC894	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2		.2722368	.53910454	.170148	1.0911824	1	14	63															0	397578	0		776.4941				0	3755.517	935602.8	1054379	8_HMOX1	1	4	2	4.9	4	1	5	-1.157523	-.8931164	-1.616981	-.3932733	.177872	.0953326	1.324958	-1.238894	-.3894143	-.5595922	-.2104284		-1.185158	-1.828892	-1.828892															
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B05	200911	1	NC899	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	15.629998	.340296	1.3477614	.2382072	3.117664	1	19	68	531717	7596	6507	17239	5138	70	9.219e+09	1	4219317	195073	144	228	184	142									15	4144.002	1110650	1410739	8_HMOX1	1	4	2	5.233333	4	1	5	.3932733	.3101982	.2993069	-.3302958	-.5244005	1.23942	-.9191355	.313572	1.616156	.5595922	1.616156	.5682099						.7824294	.9182451	.4921101	.6597193	1.161883	.6597193	.3878687	-.3878687	.7507051	.2631268	-.9051525	-.2387225	.8483799
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B03	200911	1	NC883	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.7734295	1	2	20.596039	.3062664	.71352072	.3062664	2.4941312	1	3	52	328375	4691	4273	4537	1520	70	1.538e+09	1	5349654	176987	136	293	216	111	114	650350	9424	3511.147	2889.8513	3.31e+07	235.0218	-253666.8	17				8_HMOX1	1	4	2	3.625	4	1	5								-.4377901	.9674216	1.549706	.4516583	1.928738	-.4358834	.3149377	.3446772	.4362566	-.0302049	.7824294	-.4921101	-1.161883	-.7824294	-1.260339	-1.37281	-1.37281	.3373553	.2387225	-.1662953	.7683021	.7824294	-.8483799
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B02	200911	1	NC877	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	17.517094	.340296	1.3794734	.2041776	2.727956	1	46	46	85086	3151	3388	10284	2974	27	7.998e+08	1	1371867	69295	96	224	151	48	232	767762	18070	5512.2525	4722.3939	9.96e+07	53.41549	2.34e+07	27	3950.045	1075270	1384869	8_HMOX1	1	4	1	3.1	4	1	5	-.3932733	.1127151	.2079166	1.217197	.7407855		1.403413	.313572	1.382994	.1141853	1.77585	1.057414	.5308747	1.453563	1.376912	2.51073	1.143064	-1.906358	-1.672937	-1.505968	-1.505968	-1.37281	-.7824294	-.9929082	-1.672937	-1.672937	-1.672937	-.9803303	-1.37281	-1.37281
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_E02	200911	1	NC879	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	20.000114	.2722368	.44396845	.170148	3.3514888	1	48	48															204	769022	17057	3431.8592	3001.7076	5.85e+07	22.50381	2.26e+07	0				8_HMOX1	1	4	1	3.291667	4	1	5								-1.238894	2.000424	-.5595922	-1.549706	1.778823	.5635893	1.078302	1.244045	1.143064	1.086838													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B07	200911	1	NC913	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	10.167354	.340296	.63424064	.2041776	.389708	1	33	82	350150	5558	4316	13604	4264	63	4.761e+09	1	4198645	173371	146	223	178	149	62	662668	4608	2540.6814	2173.4068	1.17e+07	117.9017	-4858197	15	4259.385	1084900	1263745	8_HMOX1	1	4	2	6.8	4	1	5	.8207921	.1451209	-.6289042	1.101709	.1182339	.7251591		.313572	-1.13214	.1141853	.152506	-.9674216	-.2854742	-.0704692	-.227256	-.2440025	-.2130021	.118514	-.3373553	-.6597193	-.7197189	-.2387225	.0473125	-.0473125	-.4393922	0	.3373553	-1.104836	-.3624964	1.209645
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B04	200911	1	NC891	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	14.63679	.3743256	.7928008	.2722368	1.94854	1	11	60															36	374580	2091	2666.4165	2526.0651	5575477	-176.4088	-1.92e+07	0				8_HMOX1	1	4	2	4.7	4	1	5								.9271548	.3487557	.9674216	.7478586	.2868939	-1.376912	-.5801733	-.6309245	-.762464	-1.203157													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B08	200911	1	NC921	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	13.643582	.4083552	.99892901	.3062664	1.0911824	1	41	90	327753	5651	4172	10337	3278	58	3.586e+09	2	4439047	166793	118	272	185	150	181	756860	15309	2834.9936	2402.9545	4.34e+07	138.8034	2.15e+07	11	3832.773	988433.8	1270743	8_HMOX1	1	4	2	7.35	4	1	5	-.7801644	-.4484255	-.5933586	-.4908544	-.3932733	1.112734	.1867561	1.608653	-.3894143	1.549706	.9084579	-.0809473	.4670705	.8537231	.9378634	.8459325	.9836224	-.2631268	-.5462332	-.5462332	-.9929082	-.6597193	-.7197189	-.8483799	-.1903223	-.1423641	-.9929082	.1208042	-.1903223	1.37281
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_E01	200911	1	NC873	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	18.410981	.340296	1.6014576	.2722368	2.8838392	1	42	42															104	791561	7477	4809.3828	4037.4262	3.60e+07	166.3998	-2.43e+07	0	3947.622	1141798	1431390	8_HMOX1	1	4	1	2.75	4	1	5	-.4253408	.4842547	.4253408	.6652629	.4908544		.9191355	.313572	1.48947	.9674216	2.428737	1.476592	.8537231	.2562565	.1412905	.5383123	-1.605273													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_B09	200911	1	NC929	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	11.955128	.4083552	.4915365	.1361184	.4676496	1	49	98	256920	6588	5639	11777	3925	39	2.826e+09	1	2844855	113064	110	216	172	119	136	708854	11920	2449.0289	2007.7495	2.92e+07	223.561	1.65e+07	36	3962.561	1189485	1308636	8_HMOX1	1	4	2	7.883333	4	1	5	-.3616052	.9934046	-.2686029	1.281552	.7801644	.9506695	-1.018076	1.608653	-1.029957	-1.4342	-.9982012	-.4906756	.0281681	.4358834	.5635893	.1822052	.8034983	-1.37281	-1.161883	0	.1423641	-1.161883	-.3878687	-.3878687	-1.260339	-1.260339	-1.505968	-1.249346	-.6597193	-.5462332
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_E06	200911	1	NC910	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	6.5918044	.3743256	.50739251	.1361184	.3117664	1	30	79	132362	2877	3066	830	314	46	96582992	2	2913491	134893	124	575	119	39	8	318060	624	2237.1506	1949.8017	1395982	80.70331	-9933490	0	3864.604	901717.8	1129790	8_HMOX1	1	4	2	6.05	4	1	5	-.6652629	-1.303783	-1.281552	-1.281552	-.3616052	-.3564294	-1.593219	.9271548	-1.290233	-1.4342	-.6508373	-1.928738	-1.758563	-1.341447	-1.307593	-1.879026	-.5735608	-1.073562	-1.505968	-1.672937	-1.672937	-1.672937	-1.906358	-1.672937	-1.161883	-1.073562	-.6894088	2.341027	-1.505968	-1.906358
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F08	200911	1	NC925	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	12.15377	.340296	.66595267	.2722368	1.8705984	1	45	94	387346	5306	4672	14107	4170	73	5.303e+09	1	5358953	176858	128	347	176	120	52	678662	4768	1927.5233	1791.9153	9190431	-40.86819	1558201	0	3984.306	985233.8	1293263	8_HMOX1	1	5	2	7.616667	5	1	5	-.2686029	-.5207167	-.3932733	-1.217197	-.8628221	-.9506695	.3803256	.313572	.2888094	.9674216	.3487557	-.4159872	-.227256	-.2854742	-.1697986	-.4697212	.0604375	1.073562	-.0473125	-.8483799	-.3373553	-.0473125	.1903223	-.1903223	.3878687	.1903223	-.4393922	1.496147	-.5189816	-.4655894
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C01	200911	1	NC871	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	11.557845	.3743256	.47568048	.1361184	1.6367736	1	40	40															34	224199	1855	2313.0873	2224.6352	4290777	-170.7097	-1.35e+07	0	3788.768	901329.1	1143368	8_HMOX1	1	5	1	2.616667	5	1	5	-1.101709	-1.382994	-1.101709	.2993069	.3932733	-2.075128	-1.324958	.9271548	.0379883	-1.4342	-1.207414	-.6001788	-2.535274	-.6309245	-.6656764	-.8899477	-.762464													
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_H05	200911	1	NC905	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	.9871457	1	2	16.225923	.340296	.50739251	.2722368	1.4029488	1	25	74	705298	8396	7283	15936	5467	84	1.091e+10	3	8013439	231949	188	300	211	151	218	745832	18362	3646.9981	3299.325	6.70e+07	-116.8445	2.40e+07	0	4351.6	1187616	1482621	8_HMOX1	1	5	2	5.716667	5	1	5	1.516426	.9420758	.8628221	.9064346	1.129176	1.478625	.8284646	.313572	-.1141853	.9674216	-.6508373	.6493239	.3446772	1.275175	1.539856	1.338533	1.26794	1.37281	1.906358	1.161883	1.37281	1.37281	.3373553	.5462332	2.34813	1.260339	1.906358	.8347719	.5738966	1.505968
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_C08	200911	1	NC922	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	1	1	2	12.650374	.3743256	1.014785	.2722368	2.6500144	1	42	91	316351	6456	5509	10396	3497	49	3.187e+09	1	3771704	157790	138	240	182	127	67	797850	4992	2796.4882	2305.268	1.40e+07	216.6507	-5693396	20	3967.021		1366416	8_HMOX1	1	5	2	7.416667	5	1	5	-.3302958		.0590137	-.0590137	1.429219		-.1241019	.9271548	1.247754	.9674216	.9982012	-.3292913	.9378634	.0281681	-.0281681	-.0907253	-.2752391	-.8827738	-.7197189	-.1423641	.0473125	-1.073562	-.6597193	-.6597193	-.7197189	-.5462332	0	-.3957253	-.2876889	.0473125
InsH2Bfabp_CD15_10dpf_VAST02_plate01_HMOX1_200911_F05	200911	1	NC903	insH2Bfabp	CD15	HMOX1	1	0	0	2	1	10	0	0	1	16.225923	.3743256	.41225642	.2722368	.3117664	1	23	72	385841	7717	7175	11253	4137	50	4.158e+09	1	6088836	165118	166	236	215	131	40	763756	2917	2302.76	2034.3444	6717151	45.61527	-6592066	16	4327.691	1197112	1533074	8_HMOX1	1	5	2	5.566667	5	1	5	1.217197	1.166061	1.429219	1.351702	.9993048	1.310954	1.593219	.9271548	-1.290233	.9674216	-2.166107	.6493239	.4987188	-.4828342	-.5635893	-.6839988	-.338562	-.7507051	-.0947312	.6020065	1.161883	-.4393922	-.4921101	-.2387225	.8483799	-.2387225	1.032396	-.5862727	.7197189	.2876889
