filename	date	plate	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	scda_nwt	scdb_nwt	scd_nwt	scd_dich	qRNA	protein	ldl	gluc	tc	tg	Anders_batch	pos_bio	Löpnr	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	CellInt_Tot	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	LiverLipN	LiverArea	LiverLipArea	LiverLipInt_Av	LiverLipIntBG	LiverLipInt_Tot	LiverLipInt_Av_Res	LiverLipInt_Tot_Res	vld_area	length	dorsal_area	lateral_area	file	batch	tank	batch_bio	tod	tank_n	batch_n	nr_tanks	intlength	intdorsal_area	intlateral_area	intangle	inteye_area	intcurvature	intpig_dorsal_tail	intldl	inttg	inttc	intgluc	intprotein	intLiverArea	intLiverLipN	intLiverLipArea	intLiverLipInt_Tot	intLiverLipInt_Tot_Res	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Tot	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C06	201216	1	NJ262	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.9686267	1	.9843134	1	3	9.5691371	11.09365	17.457474	7.2483048	12.860364	1	38	38	447150	9937	8786	11819	4747	45	4.927e+09	1	3683927	159100	133	225	174	132	325	885636	26104	15478.69	12327.402	4.04e+08	174.9139	1.31e+08	1	4177.484	1003029	1395711	42_SCD	1	3	1	5.733333	3	1	3	.4419345	.1225808	.0611754	.3754618	-.4084725	1.19838	.8157657	.5707313	.0855575	1.268707	-.2592342	-.5375191	.9523705	1.582058	1.582058	1.408136	1.823803	-.8925596	.8499573	2.269206	2.269206	.9368471	.2353289	.9368471	-.2353289	-.1168527	.0583267	-.656305	-.3884616	.4846749
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_F05	201216	1	NJ257	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.9312602	.964187	.9477236	1	3	12.35265	9.2560512	13.271485	2.0758056	15.744203	1	33	33	260479	3947	3888	6964	2150	66	1.799e+09	1	4317901	146739	119	305	187	114	165	663590	13392	12719.828	11029.002	1.70e+08	-941.5048	-5.23e+07	6	4205.662	1049519	1446463	42_SCD	1	3	1	5.483333	3	1	3	.5104216	.5104216	.5104216	.4419345	.1844524	2.231606	1.000491	-.142907	.4727891	-2.277988	-1.408136	.639147	-.0855575	.4411686	.4099833	.5707313	-.7106959	.5177236	-.6929004	-1.813418	-1.395747	-1.255486	-1.395747	-1.570585	.0583267	-.2957227	-.5177236	.8499573	.2054644	-.4521474
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_F03	201216	1	NJ243	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	.0106599	.00533	0	1	8.1773807	10.617235	24.053576	4.6280256	16.445678	1	19	19	327855	5855	5419	15288	4603	56	4.808e+09	1	3265094	123551	136	236	149	106	135	548406	10848	8928.9111	6500.6229	9.69e+07	995.8652	4.85e+07	94	3705.354	803128.7	1111741	42_SCD	1	3	1	3.6	3	1	3	-1.227826	-1.546635	-1.000491	-.6554235	-.6554235	.8694237	-.581393	.3186394	.8662307	-.4727891	2.277988	-.9523705	-.7106959	.142907	.0855575	-.0855575	.7860842	-.2957227	-.2957227	-.2353289	-.0583267	.6929004	1.570585	.7690553	-.4846749	-.6205683	.2353289	-.2353289	-.8499573	-.6929004
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C02	201216	1	NJ233	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.0192308	0	.0096154	0	1	14.639107	10.379028	18.281986	7.9288968	10.833882	1	9	9	624616	7018	5291	8108	2825	89	4.745e+09	2	7138639	251335	181	311	231	143	92	621566	8575	14486.302	12501.764	1.24e+08	-1038.038	-1.55e+08	7				42_SCD	1	3	1	3.025	3	1	3								.2007308	-.3791918	2.277988	.0284883	1.582058	-.2592342	-.3791918	-.3186394	.2007308	-2.277988	2.269206	1.813418	.6205683	-.1757821	.5513477	-.9368471	-.5513477	1.813418	2.269206	2.269206	.9368471	1.255486	1.136341
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C04	201216	1	NJ247	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	0	0	0	1	17.024975	14.122284	13.255629	6.6698016	14.10743	1	23	23	426866	6468	6250	10010	3359	66	4.290e+09	1	5786347	209529	142	340	206	139	274	896390	23896	11681.444	9588.3217	2.79e+08	-157.4637	1.12e+08	0	4373.371	1133275	1591752	42_SCD	1	3	1	4.95	3	1	3	1.546635	1.369856	1.791764	-.1844524	1.000491	.3271033	2.250926	1.408136	.3186394	.9523705	-1.582058	2.277988	1.046231	1.150349	1.268707	1.046231	1.408136	.5177236	.4846749	.2957227	.6205683	.1168527	-.2957227	-.2353289	.7690553	1.031459	.4846749	1.395747	.6929004	1.031459
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_H02	201216	1	NJ237	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	7.779736	10.821413	21.183637	2.55222	10.132408	1	13	13	196122	9806	7574	8715	3294	20	1.824e+09	1	1464300	68441	99	164	122	89	39	322324	2544	5067.5924	4640.1505	1.29e+07	-512.0024	3.62e+07	131	3719.138	851698	1015889	42_SCD	1	3	1	3.25	3	1	3	-1.000491	-1.000491	-1.369856	-1.107003	-1.107003	.1940281	-1.546635	.4411686	-.639147	-1.207414	1.408136	-1.268707	-1.823803	-1.046231	-1.268707	-1.408136	.5707313	-1.570585	-1.255486	1.813418	1.395747	-1.136341	-.6205683	-.2957227	-1.395747	-1.395747	-1.031459	-1.395747	-1.395747	-1.255486
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C05	201216	1	NJ254	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	0	0	0	1	10.463838	5.3766768	18.488115	4.9683216	12.392714	1	30	30															86	729341	8624	10825.906	8117.2341	9.34e+07	847.8873	-1.72e+07	13	4237.586	1164468	1494075	42_SCD	1	3	1	5.316667	3	1	3	.6554235	1.546635	.9042674	1.107003	2.250926	-1.19838	-.6554235	-1.046231	-.0284883	-.2298841	.2007308	-.1717471	.3791918	-.639147	-.2592342	-.2007308	-.4411686													
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_F02	201216	1	NJ236	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	0	0	0	1	11.55736	20.860145	18.916227	6.2274168	4.8323792	1	12	12	630974	9279	8124	6761	2338	68	4.378e+09	2	7919715	239994	140	372	213	171	401	1081602	29628	18242.972	15405.573	5.41e+08	-954.6132	1.49e+08	22	4160.724	1099853	1481170	42_SCD	1	3	1	3.183333	3	1	3	.247039	.9042674	.7332358	.581393	1.107003	.6948019	-.1225808	2.277988	-1.823803	.5048896	.5375191	.3791918	1.823803	2.277988	2.277988	2.277988	2.277988	.7690553	2.269206	1.395747	1.570585	.2353289	-1.570585	-1.255486	2.269206	1.813418	.3572158	2.269206	1.136341	2.269206
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C01	201216	1	NJ226	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.8639696	1	.9319848	1	3	11.358538	11.365886	18.060002	5.6489136	17.614802	1	3	3	193784	4213	3427	3968	1174	46	7.927e+08	1	3397966	137834	124	231	194	125	142	717954	11043	12572.504	11059.763	1.39e+08	-1127.74	-8.50e+07	13	4162.237	1021347	1397610	42_SCD	1	3	1	2.633333	3	1	3	.3106094	.1844524	.1225808	-.4419345	-.1844524	-.4662653	-.3754618	.639147	1.046231	.0284883	-.142907	.2298841	.2007308	.2007308	.142907	.3791918	-1.268707	-.7690553	-1.395747	-1.570585	-1.570585	-1.570585	-1.813418	-1.813418	-.4200915	-.3572158	-.1462539	-.4521474	.4200915	0
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_C03	201216	1	NJ240	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	0	.0866903	.0433451	0	1	7.9785584	10.549176	18.836947	4.4919072	13.561838	1	16	16	58528	3443	3388	12692	4975	17	7.134e+08	1	6366	1705	22	31	22	16	16	393280	1279	6621.9156	5470.5094	8469430	-8.062435	-207901.5	21	3925.9	860475.8	1151039	42_SCD	1	3	1	3.416667	3	1	3	-.4419345	-.9042674	-.9042674	-.9042674	.5104216	.6151411	-1.369856	.2592342	.2592342	-.5707313	.3791918	-1.046231	-1.582058	-1.823803	-1.823803	-2.277988	.0855575	-1.990721	-2.269206	-2.269206	-1.813418	-1.813418	.3572158	1.255486	-2.269206	-2.269206	-1.813418	-1.990721	-2.269206	-2.269206
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_F04	201216	1	NJ250	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	.7832199	1	.8916099	1	3	10.265015	10.344998	9.8465859	7.1802456	18.550101	1	26	26	396691	5510	4820	9580	2673	72	3.920e+09	2	5249173	180050	157	295	195	106	40	726925	3904	10189.516	8542.5349	3.98e+07	-326.498	-8.71e+07	29	4303.847	1024293	1463839	42_SCD	1	3	1	5.1	3	1	3	.9042674	.3106094	.6554235	.9042674	.3106094	-.0643168	-.1844524	.142907	1.268707	1.150349	-1.823803	-.2888094	.3186394	-.9523705	-1.046231	-.7860842	-1.408136	.9368471	.3572158	-.5513477	-.6205683	-.0583267	-.5513477	-.6929004	.6929004	.5513477	1.395747	.5513477	.4846749	-.6929004
InsH2Bfabp_CD15_09dpf_VAST02_plate01_SCD_201216_H05	201216	1	NJ259	insH2Bfabp	CD15	SCD	1	0	0	2	1	9	1	1	1	1	3	12.650883	5.8530912	15.665744	3.9474336	15.432437	1	35	35	308606	5059	4020	7851	2273	61	2.506e+09	1	3675812	164543	142	227	176	114	31	683935	2351	5399.6546	5629.1895	1.27e+07	-1431.05	-2090346	18	4324.965	1203422	1516730	42_SCD	1	3	1	5.583333	3	1	3	1.227826	1.791764	1.369856	2.250926	1.546635	-.1289011	.0611754	-.9523705	.3791918	-.9084579	-.7860842	.9084579	.142907	-1.268707	-1.408136	-1.582058	.0284883	.0875522	-.4200915	-.8499573	-1.136341	-.9368471	-1.031459	-1.395747	-.2957227	.0583267	.4846749	-.5513477	-.2957227	-.4521474
