index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	tbc1d4_dich	batch	gluc_Res	intgluc	intgluc_Res
TBC1D4_030	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F04	2	1	plate05	fasted	4	F	K22	271800	371200	321500	21.86203	NA	306795	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.240138	20.56857	K	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	321500	99400	1.36571	250	0	1	7.563953	1.485165	1.396713
TBC1D4_038	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F05	1	2	plate05	fasted	5	F	K23	79660	116200	97930	26.38383	NA	83225	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.815648	5.158091	K	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	97930	36540	1.458699	251	1	1	-7.462222	-1.862732	-1.708735
TBC1D4_046	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F06	1	1	plate05	fasted	6	F	K24	198700	174800	186750	9.049452	NA	172045	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.970692	11.28038	K	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	186750	23900	.8797182	252	0	1	-1.341743	-.0784124	-.0784124
TBC1D4_086	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F11	2	1	plate05	fasted	11	F	L23			279410.5		NA	264705.5	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.218918		L	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		551979		254	0	1			
TBC1D4_078	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F10	2	1	plate05	fasted	10	F	L21	160900	155300	158100	2.504616	NA	143395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.275556	9.305556	L	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	158100	5600	.9651958	256	0	1	-3.709901	-.7764218	-.7764218
TBC1D4_070	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F09	2	1	plate05	fasted	9	F	L19	279800	250300	265050	7.870081	NA	250345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.870489	16.67753	L	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	265050	29500	.8945675	258	0	1	3.658458	.8195021	.7764218
TBC1D4_062	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F08	2	1	plate05	fasted	8	F	L17	339200	336200	337700	.6281671	NA	322995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.6332	21.68523	L	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	337700	3000	.9911557	260	0	1	8.662546	1.708735	1.708735
TBC1D4_054	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_F07	2	2	plate05	fasted	7	F	L15	309600	314100	311850	1.020356	NA	297145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.006	19.90341	L	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	311850	4500	1.014535	262	1	1	6.877116	1.318011	1.246721
TBC1D4_089	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_A12	2	1	plate05	fasted	12	A	L13	145700	186000	165850	17.18203	NA	151145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.463594	9.839757	L	13	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	165850	40300	1.276596	264	0	1	-3.190147	-.4711971	-.6942906
TBC1D4_095	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G12	2	1	plate05	fasted	12	G	M17	151600	132300	141950	9.614062	NA	127245	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.883708	8.19235	M	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	141950	19300	.8726913	291	0	1	-4.886313	-1.00999	-1.063622
TBC1D4_007	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G01	1	2	plate05	fasted	1	G	M19			140100		NA	125395	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.838821		M	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	140100	68000	1.640905	293	1	1			
TBC1D4_015	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G02	1	1	plate05	fasted	2	G	M20			155650		NA	140945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.216111		M	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	155650	95700	1.887755	294	0	1			
TBC1D4_023	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G03	2	2	plate05	fasted	3	G	M21			146700		NA	131995	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.998957		M	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	146700	79800	1.747191	295	1	1			
TBC1D4_031	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G04	2	1	plate05	fasted	4	G	M22	248300	280100	264200	8.510975	NA	249495	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.849865	16.61894	M	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	264200	31800	1.128071	296	0	1	3.531244	.7764218	.7347365
TBC1D4_039	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G05	1	2	plate05	fasted	5	G	M23	68610	100900	84755	26.93939	NA	70050	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.495982	4.249949	M	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	84755	32290	1.470631	297	1	1	-8.453434	-2.497705	-2.497705
TBC1D4_047	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G06	1	1	plate05	fasted	6	G	M24	161000	161500	161250	.2192579	NA	146545	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.351984	9.522683	M	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	161250	500	1.003106	298	0	1	-3.182506	-.7347365	-.6549499
TBC1D4_087	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G11	2	1	plate05	fasted	11	G	N23			99397		NA	84692	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	1.851242		N	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		183206		300	0	1			
TBC1D4_079	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G10	2	1	plate05	fasted	10	G	N21	151400	153400	152400	.9279616	NA	137695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.137256	8.91266	N	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	152400	2000	1.01321	302	0	1	-4.185869	-.8195021	-.9106117
TBC1D4_071	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G09	2	1	plate05	fasted	9	G	N19	265400	240300	252850	7.019332	NA	238145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.57448	15.83659	N	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	252850	25100	.9054258	304	0	1	2.73445	.6942906	.6942906
TBC1D4_063	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G08	2	1	plate05	fasted	8	G	N17	184700	184500	184600	.0766096	NA	169895	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.918527	11.13218	N	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	184600	200	.9989172	306	0	1	-1.973575	-.1098857	-.2050923
TBC1D4_055	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_G07	2	2	plate05	fasted	7	G	N15	248100	256200	252150	2.271491	NA	237445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.557496	15.78834	N	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	252150	8100	1.032648	308	1	1	2.678976	.6549499	.6549499
TBC1D4_090	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_B12	2	1	plate05	fasted	12	B	N13	328000	419700	373850	17.34431	NA	359145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	8.510309	24.17701	N	13	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	373850	91700	1.279573	310	0	1	11.06404	2.080278	2.080278
TBC1D4_096	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H12	2	1	plate05	fasted	12	H	O17	361300	328800	345050	6.660186	NA	330345	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	7.811533	22.19185	O	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	345050	32500	.9100471	337	0	1	9.03012	1.862732	1.862732
TBC1D4_008	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H01	1	2	plate05	fasted	1	H	O19	171500	253600	212550	27.31285	NA	197845	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.596679	13.05875	O	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	212550	82100	1.478717	339	1	1	.2795149	.2372021	.2050923
TBC1D4_016	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H02	1	1	plate05	fasted	2	H	O20			148400		NA	133695	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.040204		O	20	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	148400	71600	1.635879	340	0	1			
TBC1D4_024	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H03	2	2	plate05	fasted	3	H	O21			277350		NA	262645	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.168924		O	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		184700		341	1	1			
TBC1D4_032	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H04	2	1	plate05	fasted	4	H	O22	195600	278100	236850	24.63007	NA	222145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.186271	14.73372	O	22	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	236850	82500	1.421779	342	0	1	1.56296	.4711971	.4022501
TBC1D4_040	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H05	1	2	plate05	fasted	5	H	O23	263400	285900	274650	5.792792	NA	259945	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	6.103414	17.33924	O	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	274650	22500	1.085421	343	1	1	4.55279	.86416	.9106117
TBC1D4_048	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H06	1	1	plate05	fasted	6	H	O24	153400	174900	164150	9.261526	NA	149445	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.422347	9.722577	O	24	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	164150	21500	1.140157	344	0	1	-3.065684	-.5424624	-.5791321
TBC1D4_088	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H11	2	1	plate05	fasted	11	H	P23			138364.5		NA	123659.5	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.796712		P	23	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7		261871		346	0	1			
TBC1D4_080	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H10	2	1	plate05	fasted	10	H	P21	131700	147900	139800	8.193941	NA	125095	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	2.831542	8.044153	P	21	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	139800	16200	1.123007	348	0	1	-5.137446	-1.063622	-1.181259
TBC1D4_072	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H09	2	1	plate05	fasted	9	H	P19	202600	188400	195500	5.136019	NA	180795	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	4.182994	11.8835	P	19	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	195500	14200	.9299111	350	0	1	-1.301707	.0470166	-.0470166
TBC1D4_064	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H08	2	1	plate05	fasted	8	H	P17	173100	192700	182900	7.577525	NA	168195	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	3.877279	11.015	P	17	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	182900	19600	1.113229	352	0	1	-2.173825	-.1414683	-.2372021
TBC1D4_056	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_H07	2	2	plate05	fasted	7	H	P15	224700	263000	243850	11.10609	NA	229145	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.356112	15.21623	P	15	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	243850	38300	1.170449	354	1	1	2.023793	.5791321	.5065081
TBC1D4_091	20230830_GGTassay_7dpf_TBC1D4_fasted_plate05_C12	2	1	plate05	fasted	12	C	P13	230100	271900	251000	11.77572	NA	236295	.9835922	y = 41214.9323895178 * x + ( 8393.19308600319 )	8393.193	41214.93	14705	2075250	5.529593	15.70907	P	13	GTT_DAY3_GLUGLO_plate-01	1	20230830	GGTassay	TBC1D4	fasted	1	7	251000	41800	1.18166	355	0	1	2.51483	.6165979	.5791321
