index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	plin1_dich	batch	gluc_Res	intgluc	intgluc_Res
PLIN1_047	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G06	1	2	plate03	fasted	6	G	N06	611400	807200	709300		NA	696573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	19.3357		N	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	709300	195800	1.320249	283	1	1			
PLIN1_039	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G05	1	1	plate03	fasted	5	G	N05			183044		NA	170317.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.520279		N	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7		359512		284	0	1			
PLIN1_031	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G04	2	2	plate03	fasted	4	G	N04	171300	192400	181850	8.204538	NA	169123.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.486665	12.74621	N	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	181850	21100	1.123176	285	1	1	-1.338435	-.2981024	.0587829
PLIN1_023	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G03	2	1	plate03	fasted	3	G	N03			142595		NA	129868.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.381539		N	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	142595	102810	2.127426	286	0	1			
PLIN1_015	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G02	1	2	plate03	fasted	2	G	N02	167400	232700	200050	23.08127	NA	187323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.999041	14.20182	N	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	200050	65300	1.390084	287	1	1	-4.672571	-.0980721	-.6024495
PLIN1_007	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_G01	1	1	plate03	fasted	1	G	N01	205200	238400	221800	10.58429	NA	209073.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.611358	15.94136	N	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	221800	33200	1.161793	288	0	1	-2.933783	.1375134	-.1771698
PLIN1_080	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H10	2	1	plate03	fasted	10	H	P10	123000	127200	125100	2.37398	NA	112373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.88901	8.207416	P	10	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	125100	4200	1.034146	320	0	1	-5.903471	-1.113194	-.9778975
PLIN1_072	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H09	2	1	plate03	fasted	9	H	P09	112500	115900	114200	2.105222	NA	101473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.582148	7.335648	P	9	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	114200	3400	1.030222	321	0	1	-6.775989	-1.473468	-1.189164
PLIN1_056	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H07	2	1	plate03	fasted	7	H	P07	116400	140400	128400	13.21695	NA	115673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.981914	8.471346	P	7	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	128400	24000	1.206186	322	0	1	-5.641041	-.9778975	-.8584844
PLIN1_048	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H06	1	2	plate03	fasted	6	H	P06	241500	291100	266300	13.1703	NA	253573.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.864144	19.50041	P	6	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	266300	49600	1.205383	323	1	1	.5990258	.6024495	.4668251
PLIN1_040	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H05	1	1	plate03	fasted	5	H	P05			63890.5		NA	51163.75	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.16581		P	5	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	63890.5	124419	.0133307	324	0	1			
PLIN1_032	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H04	2	2	plate03	fasted	4	H	P04	159500	168700	164100	3.964279	NA	151373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.986958	11.32659	P	4	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	164100	9200	1.05768	325	1	1	-2.78805	-.4668251	-.1375134
PLIN1_024	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H03	2	1	plate03	fasted	3	H	P03			87895		NA	75168.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	1.841596		P	3	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	87895	72810	2.414061	326	0	1			
PLIN1_016	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H02	1	2	plate03	fasted	2	H	P02			517950		NA	505223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	13.94872		P	2	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7		242100		327	1	1			
PLIN1_008	20231122_GGTassay_7dpf_PLIN1_fasted_plate03_H01	1	1	plate03	fasted	1	H	P01	237000	256900	246950	5.698087	NA	234223.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.319393	17.95282	P	1	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	PLIN1	fasted	1	7	246950	19900	1.083966	328	0	1	-.9523116	.2981024	.0980721
