index	filename	injset	control_1_mutant_2_uninjected_0	plate	treatment	column	row	well	luminescenceplatea	luminescenceplateb	rlu_mean	rlu_percstdev	conc	rlublanksub	rsquared_gluglo	stdcurvefunction_gluglo	intercept_gluglo	slope_gluglo	blank_gluglo	maxstd_gluglo	glucconc_well_um	gluc	row384	column384	gluglo_assayfilename	assayplategluc	date	experiment	gene	diet	fasted	age	luminiscence_d	delta_lum_d	luminiscence_dd	position	slc5a2_dich	batch	gluc_Res	intgluc	intgluc_Res
SLC5A2_038	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F05	1	2	plate02	fasted	5	F	K17	233600	197100	215350	11.98486	NA	202623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.429774	15.4255	K	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	215350	36500	.84375	222	1	1	-1.531941	-.0152849	-.1689275
SLC5A2_046	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F06	1	1	plate02	fasted	6	F	K18	177000	157100	167050	8.423481	NA	154323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.070008	11.56252	K	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	167050	19900	.8875706	223	0	1	-5.404113	-.8372732	-1.079224
SLC5A2_054	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F07	3	2	plate02	fasted	7	F	K19	439100	399200	419150	6.731137	NA	406423.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	11.16726	31.72516	K	19	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	419150	39900	.9091323	224	1	1	12.38283	2.506447	2.090361
SLC5A2_062	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F08	2	1	plate02	fasted	8	F	K20	209000	173100	191050	13.28717	NA	178323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.745668	13.48201	K	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	191050	35900	.8282297	225	0	1	-2.323291	-.200022	-.2628283
SLC5A2_070	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F09	1	1	plate02	fasted	9	F	K21	257100	181100	219100	24.52767	NA	206373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.535346	15.72542	K	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	219100	76000	.7043952	226	0	1	-1.26882	.0152849	-.1379956
SLC5A2_078	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F10	2	1	plate02	fasted	10	F	K22	252200	204600	228400	14.73655	NA	215673.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.797164	16.46922	K	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	228400	47600	.8112609	227	0	1	.6455147	.231311	.200022
SLC5A2_086	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_F11	3	1	plate02	fasted	11	F	K23	199400	136000	167700	26.7326	NA	154973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.088307	11.61451	K	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	167700	63400	.6820461	228	0	1	-7.764618	-.7533835	-1.720366
SLC5A2_007	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G01	1	2	plate02	fasted	1	G	M13	402200	414700	408450	2.163994	NA	395723.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	10.86602	30.86938	M	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	408450	12500	1.031079	259	1	1	13.57156	2.090361	2.506447
SLC5A2_015	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G02	1	1	plate02	fasted	2	G	M14	183800	155500	169650	11.79553	NA	156923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.143205	11.77047	M	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	169650	28300	.8460283	260	0	1	-5.53656	-.6554235	-1.331797
SLC5A2_023	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G03	2	2	plate02	fasted	3	G	M15	284400	241700	263050	11.47822	NA	250323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.772649	19.24048	M	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	263050	42700	.8498594	261	1	1	3.103983	.5279112	.6744897
SLC5A2_031	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G04	2	1	plate02	fasted	4	G	M16			103375		NA	90648.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	2.277397		M	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	103375	172650	11.1261	262	0	1			
SLC5A2_039	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G05	1	2	plate02	fasted	5	G	M17	296100	253300	274700	11.01717	NA	261973.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.100626	20.17223	M	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	274700	42800	.8554543	263	1	1	2.837605	.6744897	.6365926
SLC5A2_047	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G06	1	1	plate02	fasted	6	G	M18	196000	165500	180750	11.93182	NA	168023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.455698	12.65823	M	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	180750	30500	.8443878	264	0	1	-4.685596	-.4588506	-.7946292
SLC5A2_063	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G08	2	1	plate02	fasted	8	G	M20	275700	213800	244750	17.88352	NA	232023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.257458	17.77687	M	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	244750	61900	.7754806	265	0	1	1.603575	.4588506	.425144
SLC5A2_071	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G09	1	1	plate02	fasted	9	G	M21	204300	138800	171550	26.99825	NA	158823.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.196694	11.92243	M	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	171550	65500	.6793931	266	0	1	-5.439799	-.563388	-1.135663
SLC5A2_079	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G10	2	1	plate02	fasted	10	G	M22	239900	184300	212100	18.53613	NA	199373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.338278	15.16556	M	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	212100	55600	.7682368	267	0	1	-1.02613	-.045869	-.0764961
SLC5A2_087	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_G11	3	1	plate02	fasted	11	G	M23	159100	108400	133750	26.80397	NA	121023.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	3.132529	8.899232	M	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	133750	50700	.6813325	268	0	1	-10.84789	-1.59929	-2.090361
SLC5A2_008	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H01	1	2	plate02	fasted	1	H	O13	293700	258300	276000	9.069413	NA	263273.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.137224	20.2762	O	13	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	276000	35400	.8794689	299	1	1	2.610384	.7133814	.5995885
SLC5A2_016	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H02	1	1	plate02	fasted	2	H	O14	24720	21290	23005	10.54282	NA	10278.25	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	.0147803	.0419894	O	14	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	23005	3430	.8612459	300	0	1	-17.63303	-2.506447	-2.506447
SLC5A2_024	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H03	2	2	plate02	fasted	3	H	O15	266100	228300	247200	10.81256	NA	234473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.326431	17.97282	O	15	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	247200	37800	.8579481	301	1	1	1.46833	.4930868	.3919137
SLC5A2_032	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H04	2	1	plate02	fasted	4	H	O16			179500		NA	166773.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.420507		O	16	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7		323000		302	0	1			
SLC5A2_040	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H05	1	2	plate02	fasted	5	H	O17	353600	303700	328650	10.73623	NA	315923.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	8.619453	24.48708	O	17	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	328650	49900	.8588801	303	1	1	6.784465	1.195972	1.026029
SLC5A2_048	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H06	1	1	plate02	fasted	6	H	O18	274400	256000	265200	4.90602	NA	252473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	6.833177	19.41243	O	18	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	265200	18400	.9329446	304	0	1	1.700615	.5995885	.4588506
SLC5A2_064	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H08	2	1	plate02	fasted	8	H	O20	211700	157000	184350	20.98115	NA	171623.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	4.557046	12.94615	O	20	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	184350	54700	.7416155	305	0	1	-3.595131	-.3919137	-.4930868
SLC5A2_072	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H09	1	1	plate02	fasted	9	H	O21	275200	193000	234100	24.82878	NA	221373.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	5.957633	16.92509	O	21	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	234100	82200	.7013081	306	0	1	-.8051232	.3266899	.0152849
SLC5A2_080	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H10	2	1	plate02	fasted	10	H	O22	322700	261700	292200	14.76164	NA	279473.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.593294	21.57186	O	22	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	292200	61000	.8109699	307	0	1	5.012174	.8372732	.7946292
SLC5A2_088	20231122_GGTassay_7dpf_SLC5A2_fasted_plate02_H11	3	1	plate02	fasted	11	H	O23	357700	246400	302050	26.05561	NA	289323.3	.9972194	y = 35520.8158721619 * x + ( 9753.2430703623 )	9753.243	35520.82	12726.75	1786750	7.870596	22.35965	O	23	GTT_DAY6_GLUGLO_plate-01	1	20231122	GGTassay	SLC5A2	fasted	1	7	302050	111300	.6888454	308	0	1	2.24454	1.026029	.563388
